Movie Name,Genre,Ratings,Votes,Duration
The Exorcism,Psychological Horror,4.2,13000,95.0
Eden,Psychological Thriller,6.5,44000,129.0
Blink Twice,Psychological Thriller,6.5,130000,102.0
Mothers' Instinct,Psychological Thriller,6.3,24000,94.0
The Deliverance,Psychological Thriller,5.1,25000,112.0
Magpie,Psychological Thriller,6.3,5000,90.0
The Surfer,Psychological Thriller,5.9,20000,100.0
Bring Them Down,Psychological Thriller,6.4,6200,106.0
Rabb Da Radio 3,Punjabi,9.2,1600,119.0
The Ministry of Ungentlemanly Warfare,Quest,6.8,158000,122.0
The Wonderful Story of Henry Sugar and Three More,Quirky Comedy,7.1,13000,88.0
Ricky Stanicky,Raunchy Comedy,6.2,62000,113.0
Incoming,Raunchy Comedy,5.8,17000,91.0
Romance on the Ranch,Romance,6.7,667,88.0
The Fall Guy,Romantic Comedy,6.8,263000,126.0
Fly Me to the Moon,Romantic Comedy,6.6,59000,132.0
Irish Wish,Romantic Comedy,5.3,23000,93.0
A Family Affair,Romantic Comedy,5.4,40000,111.0
Upgraded,Romantic Comedy,6.1,33000,104.0
The Master and Margarita,Russian,7.1,6900,156.0
MaXXXine,Serial Killer,6.2,87000,103.0
Damaged,Serial Killer,4.7,9300,97.0
The Last Showgirl,Showbiz Drama,6.5,22000,88.0
He's Watching You,Slasher Horror,4.6,470,102.0
U Are the Universe,Space Sci-Fi,7.8,5300,90.0
Your Fault,Spanish,5.3,19000,118.0
Tell Me What You Want,Spanish,4.1,2500,114.0
Mistura,Spanish,8.1,710,97.0
Emilia Pérez,Spanish,5.3,115000,132.0
Apocalypse Z: The Beginning of the End,Spanish,6.1,24000,117.0
Argylle,Spy,5.6,100000,139.0
Emmanuelle,Steamy Romance,4.1,3200,107.0
Madame Web,Superhero,4.1,115000,116.0
Ghostbusters: Frozen Empire,Supernatural Fantasy,6.1,106000,115.0
Never Let Go,Supernatural Horror,5.4,19000,101.0
Salem's Lot,Supernatural Horror,5.6,41000,114.0
Night Swim,Supernatural Horror,4.7,32000,98.0
Bagman,Supernatural Horror,4.7,8000,93.0
Something in the Water,Survival,4.1,5900,86.0
Sleeping Dogs,Suspense Mystery,6.2,27000,110.0
Maharaja,Tamil,8.3,82000,141.0
Monster Summer,Teen Horror,5.7,7600,97.0
Sidelined: The QB and Me,Teen Romance,5.7,6200,99.0
Lucky Baskhar,Telugu,8.0,42000,148.0
Kalki 2898 AD,Telugu,7.0,76000,180.0
Pushpa: The Rule - Part 2,Telugu,6.1,67000,201.0
How to Make Millions Before Grandma Dies,Thai,7.9,22000,125.0
Taboo: Family Secrets,Thriller,6.1,833,95.0
Caddo Lake,Time Travel,6.8,55000,103.0
"Husband, Father, Killer: The Alyssa Pladl Story",Unknown,6.0,822,87.0
Afraid,Unknown,5.2,17000,84.0
River of Blood,Unknown,4.6,3100,86.0
What Happened to Dorothy Bell?,Unknown,5.2,236,80.0
Under Paris,Unknown,5.2,40000,104.0
Megalopolis,Unknown,4.7,42000,138.0
The Salt Path,Unknown,6.6,7000,115.0
Fight or Flight,Unknown,6.4,27000,102.0
Horizon: An American Saga - Chapter 1,Unknown,6.6,45000,181.0
The Lord of the Rings: The War of the Rohirrim,Unknown,6.3,40000,134.0
The 4:30 Movie,Unknown,6.0,4700,87.0
A Different Man,Unknown,6.9,38000,112.0
Borderlands,Unknown,4.7,58000,101.0
Homestead,Unknown,5.2,5400,112.0
Presence,Unknown,6.1,43000,84.0
The Strangers: Chapter 1,Unknown,4.7,29000,91.0
Lick,Unknown,6.1,1400,75.0
The Assessment,Unknown,6.6,23000,114.0
Terrifier 3,Unknown,6.2,63000,125.0
Thelma,Unknown,7.0,29000,98.0
Kneecap,Unknown,7.6,25000,105.0
All of You,Unknown,6.3,9500,98.0
The Penguin Lessons,Unknown,7.1,12000,111.0
Miller's Girl,Unknown,5.2,27000,93.0
Tarot,Unknown,4.8,39000,92.0
Vaazha: Biopic of a Billion Boys,Unknown,7.3,6400,125.0
Survive,Unknown,4.6,4700,90.0
Monkey Man,Unknown,6.8,100000,121.0
Cuckoo,Unknown,5.7,34000,102.0
Kishkindha Kaandam,Unknown,8.0,16000,133.0
The Return,Unknown,6.3,14000,116.0
Shell,Unknown,4.9,4100,100.0
Young Woman and the Sea,Water Sport,7.5,20000,129.0
Werewolves,Werewolf Horror,4.4,10000,93.0
Horizon: An American Saga - Chapter 2,Western Epic,7.0,1800,190.0
Drugstore June,Whodunnit,5.4,2300,91.0
